id,quiz,userid,grade,timemodified
1,1,103,7.22222,1728860343
2,1,98,9.44444,1728883327
3,1,104,7.77778,1729177868
4,1,80,10.00000,1729431339
5,6,104,7.27273,1729435378
6,3,76,8.88889,1729442238
7,1,113,10.00000,1732650537
8,2,103,4.61538,1730468647
9,10,77,9.00000,1730828449
10,9,104,10.00000,1730986092
11,10,104,7.00000,1730986734
12,2,77,7.69231,1731148073
13,8,83,6.66667,1731673749
14,8,76,10.00000,1732295990
15,9,76,9.50000,1732296234
16,6,76,8.18182,1731774452
17,2,113,6.92308,1732783872
18,13,77,10.00000,1733396385
19,17,77,10.00000,1733397107
20,3,102,5.55556,1733697303
21,37,79,6.66667,1733780988
