Module ID,Word Count
351,132
139,75
307,139
684,20
712,127
317,33
254,33
156,171
163,75
299,225
326,239
309,25
676,26
273,132
145,220
678,15
252,176
344,11
179,14
675,27
302,301
395,126
677,14
389,15
682,14
380,11
202,13
255,72
332,103
713,47
281,18
644,8
360,154
342,110
191,197
325,23
318,244
127,64
136,183
378,142
722,151
680,23
212,77
737,116
160,14
738,77
399,23
353,12
681,31
685,80
387,151
138,10
369,76
716,254
721,282
740,58
371,18
679,20
718,106
739,1855
301,25
264,34
211,13
362,27
335,21
282,130
683,29
720,277
